url	name	authors	genres	cycle	annotation	date
https://author.today/work/396166	Избранный. Книга 2	"[""Василий Маханенко"",""Юрий Винокуров""]"	"[""Роман"",""РеалРПГ"",""Фэнтези"",""Юмор""]"	Избранный	"И снова здравствуйте! Я всё еще Макс, и я всё еще Избранный!Надеюсь, у вас уже пропали иллюзии о том, что ""избранные"" - это элита разумных цивилизаций, выбранные для противостоянию Вселенскому Злу?Пока что, всё зло, что я видел - это багнутая Система и отсутствие простых санитарных условий во время приключений. Да и ""элитой"" моих спутников назвать можно только с большой натяжкой. А сопутствующие трудности? Преодолеем!Значит, нас хотели подставить? Три раза ""ха""! Да, мы сами по-себе, но у нас теперь есть свое Подземелье. Осталось только заставить этих долбанных гномов на себя работать. Ну, и еще понять, кто такие эти гоблины, которые сперли наш путеводный камень...                
                        Примечания автора:
                        📌 Первая книга здесь: https://author.today/work/390998🔥НОВЫЕ ГЛАВЫ ПЯТЬ РАЗ В НЕДЕЛЮ ПО БУДНЯМ (ПН-ПТ) в 00:00"	2024-12-04T21:00:23.2070000Z
https://author.today/work/394227	Кровь Василиска. Книга IX	"[""Тайниковский""]"	"[""Роман"",""Фэнтези"",""Попаданцы"",""Бояръ-Аниме""]"	Кровь Василиска	"Прошлая жизнь… Да-да, у меня была прошлая жизнь. Жизнь, полная боли и страданий, подвигов и предательств. Убей или умри. Вырви глотку врагу или сдохни сам. Я выжил. Я стал, возможно, лучшим в своем деле, но… Всегда есть чертово ""но""… Можно много говорить про то, что я был один против всего мира, но это отговорки для слабых. Я просто не справился. И поэтому умер.Теперь я начинаю новую жизнь. Я не просил судьбу об этом, но благодарен ей за второй шанс. Шанс начать всё с чистого листа...  А еше, Люка предали!)"	2024-12-03T21:28:45.9770000Z
https://author.today/work/395459	Кодекс Охотника. Книга ХХХ	"[""Юрий Винокуров"",""Олег Сапфир""]"	"[""Роман"",""Бояръ-Аниме"",""Попаданцы"",""Боевое фэнтези""]"	Кодекс Охотника	"""Да содрогнется Мироздание!!! Да подохнут твари адские!!! Да придет Спаситель!!! Да…""— Ш-ш-шадр! Прош-ш-шыпайся! Ты чего ореш-ш-шь? Каш-ш-шется тебе кош-ш-шмар приш-ш-шнился!                
                        Примечания автора:
                        📌 Первая книга здесь: https://author.today/work/216859🔥НОВЫЕ ГЛАВЫ ПЯТЬ РАЗ В НЕДЕЛЮ ПО БУДНЯМ (ПН-ПТ) в 00:15"	2024-12-05T00:03:46.8830000Z
https://author.today/work/396136	Мечников. Из доктора в маги	"[""Игорь Алмазов"",""Виктор Молотов""]"	"[""Роман"",""Бояръ-Аниме"",""Попаданцы в магические миры"",""Альтернативная история""]"	Жизнь Лекаря с нуля	"Меня зовут Алексей Мечников. Я не спецназовец, убийца или маг. Да даже не бог! Я - обычный врач. И умер на рабочем месте. Но вместо смерти переродился в новом мире. В теле молодого лекаря-недоучки. За окном девятнадцатый век. Миром правит магия. А отец изгоняет меня из рода за проступки предшественника. Но это даже к лучшему! Ведь теперь я смогу познать лекарское дело этого мира и развивать его, используя свои навыки из прошлой жизни!  Но для начала пробужу в себе магический дар и спасу своего первого пациента!                
                        Примечания автора:
                        ⚡️Проды каждый день в полночь⚡️Обложка от студии: https://vk.com/drakart"	2024-12-04T21:00:04.5400000Z
https://author.today/work/331689	Тринадцатый	"[""Виктор Молотов"",""А. Никл""]"	"[""Роман"",""Бояръ-Аниме"",""Попаданцы в магические миры"",""Боевое фэнтези""]"	Видящий смерть	"Я очнулся в тюрьме и последнее, что я помню... ничего. Голова раскалывается, мерцающий свет не дает покоя, а ещё этот призрак... Стоп, что? Призрак...Почему я оказался в теле княжича, которого хотят убить все, кому не лень? А это что за монстр?! И почему его больше никто не видит?!                
                        Примечания автора:
                        Прода каждый день. Приятного чтения."	
https://author.today/work/397472	Король Масок. Том 5	"[""Борис Романовский""]"	"[""Роман"",""Бояръ-Аниме"",""Попаданцы в магические миры"",""Героическое фэнтези""]"	Апофеоз Короля	"Ссылка на первый том: https://author.today/work/370802-----------Я стремился к вершине, и ради достижения цели использовал ложь, притворство и манипуляции. С их помощью я разрушал самые влиятельные кланы страны, а тысячи сильнейших Заклинателей поклялись убить меня. В итоге я оказался на грани поражения. Пришлось использовать сломанный артефакт, чтобы отправиться в прошлое, в своё молодое тело.. Но я попал не в свой мир, а в параллельный. Однако… Так ли это важно? Ведь моя цель не изменилась.Итак, мне снова шестнадцать. Мой путь вновь начинается.                
                        Примечания автора:
                        ❤️❤️❤️ Не забывайте про лайки! Они радуют и мотивируют писать больше)"	2024-12-04T22:35:15.4930000Z
https://author.today/work/277736	Возвышение Меркурия. Книга 1	"[""Александр Кронос""]"	"[""Роман"",""Попаданцы в магические миры"",""Бояръ-Аниме"",""Фантастика""]"	Меркурий	"Я был римским божеством и правил миром. А потом нам ударили в спину те, кому мы великодушно сохранили жизнь. Теперь я здесь - в новом варварском мире, где все носят штаны вместо тоги, а люди ездят в стальных коробках. Слабая смертная плоть позволила сохранить лишь часть моей силы. Но я Меркурий - покровитель торговцев, воров и путников. Значит, обязательно разберусь, куда исчезли все боги этого мира и почему люди присвоили себе нашу силу.Что? Кто это сказал? Ограничить себя во всём и прорубаться к цели? Не совсем мой стиль, господа. Как говорил мой брат Марс - даже на поле самой жестокой битвы найдётся время для отдыха. К тому же, вы посмотрите - вокруг столько прекрасных женщин, которым никто не уделяет внимания.                
                        Примечания автора:
                        Что делать с лайками и комментариями, вы сами прекрасно знаете)"	
https://author.today/work/396123	Ревизор: возвращение в СССР 29	"[""Серж Винтеркей"",""Артем Шумилин""]"	"[""Роман"",""Назад в СССР"",""Альтернативная история"",""Попаданцы""]"	Ревизор: возвращение в СССР	"Приключения московского аудитора, попавшего из нашего времени в 1971 год, продолжаются. Диана получает настоящий шанс принести пользу родному КГБ. Глава Святославля добивается своего, но у всего есть свои последствия. Ну а у Павла Ивлева начинается строительство музея… да непростого, а золотого.                
                        Примечания автора:
                        Новые главы выкладываются ежедневно в полночь! Аудиокнига: https://www.litres.ru/audiobook/artem-shumilin-33032125/revizor-vozvraschenie-v-sssr-29-71341168/Первая книга серии здесь: https://author.today/work/267068"	2024-12-04T21:08:40.3470000Z
https://author.today/work/396812	Первый среди равных. Книга V	"[""Жорж Бор"",""Юрий Винокуров""]"	"[""Роман"",""Бояръ-Аниме"",""Боевое фэнтези"",""Попаданцы""]"	Первый среди Равных	"Я знал, что легко не будет, но не предполагал, что проблемы настолько глубоки. Дружина, ""дикие"" поселения, враждебные аристократические рода, близкий гон...Однако, еще по прошлой жизни я был известен тем, что для меня не существовало неразрешимых проблем. Так будет и в этой жизни. Вы думали, что достаточно просто дождаться, когда род Разумовских загнется сам по себе, под руководством странного юнца?  Ну-ну...                
                        Примечания автора:
                        📌 Первая книга здесь: https://author.today/work/373655🔥НОВЫЕ ГЛАВЫ КАЖДЫЙ ДЕНЬ в 07:00"	2024-12-05T04:00:05.6300000Z
https://author.today/work/265754	Неудержимый. Книга I	"[""Андрей Боярский""]"	"[""Роман"",""Попаданцы в магические миры"",""Боевое фэнтези"",""Бояръ-Аниме""]"	Неудержимый	"Несколько часов назад я был одним из лучших убийц на планете. Мой рейтинг среди коллег был на недосягаемом для простых смертных уровне, а силы практически безграничны. Мировая элита стояла в очереди за моими услугами и замирала в страхе, когда я брал чужой заказ. Они правильно делали, ведь в этом заказе мог оказаться любой из них.Чёрт! Поверить не могу, что я так нелепо сдох! Что же случилось? В моей памяти не нашлось ничего, что могло бы объяснить мою смерть. Благо, судьба подарила мне второй шанс в теле юного барона. Я должен снова получить свою силу и вернуться назад! Вот только есть одна небольшая проблемка… Как это сделать? Если я самый слабый ученик в интернате для одарённых детей?!                
                        Примечания автора:
                        🔥 ВТОРАЯ КНИГА ЗДЕСЬ - https://author.today/reader/279048😈 ОСТОРОЖНО! В КНИГЕ ПРИСУТСТВУЮТ АРТЫ!  💘 Информация по книгам: https://boosty.to/aboyarsky🔥 Моя телега: t.me/mir_boyarsky"	
https://author.today/work/392025	Звездная Кровь. Лед-Кузнец	"[""Роман Прокофьев""]"	"[""Роман"",""Боевая фантастика"",""Попаданцы в магические миры"",""Героическое фэнтези""]"	Звездная Кровь. Белый Дьявол (Тысяча Братьев)	"Тысячи циклов стоят Ледяные Чертоги Эргиаля. Древний и таинственный Домен, где лед-кузнецы куют Предметы и Руны, равных которым нет в Единстве. Говорят, им правит один из тех легендарных героев, что одолели Великих Червей. Говорят, туда можно войти, но нельзя выйти, ибо касание неба смертельно. Говорят, мрачный владыка вкладывает кусок звездного льда вместо сердца всем, кто волей или неволей увидел синий свет Эргиаля – и они становятся его вечными и преданными слугами. Говорят, что за секретами Эргиаля неустанно охотится Вечность… Тот, кто теперь носит имя Пламени Подобный, не слушает легенды. Он их творит. И он знает, что в Эргиале его ждет один из тех, кого прежде называли Тысячей Братьев. Тот, кто всегда видел дальше и умел больше прочих. Тот, кто сумел избежать оков Небесного Трона. Тот, кому небесное мастерство дало его имя… Ледяной Кузнец.                
                        Примечания автора:
                        Параллельный цикл по миру ""Звездной Крови"", рассказывающей о приключения Белого Дьявола.Название и аннтотации рабочие. Выкладка по четвергам, в 0.15 Мск.Анонсы и иллюстрации в Телеграме: https://t.me/prokofiev_litrpg"	2024-12-04T21:15:05.7600000Z
https://author.today/work/399399	Старатели. Специалист	"[""Влад Лей""]"	"[""Роман"",""Фантастика"",""Космическая фантастика"",""Боевая фантастика""]"	Старатели	"Космическая Ассамблея переживает свой закат. Планеты, системы и целые сектора один за другим выходят из ее состава, объявляют собственную независимость. Очень скоро может начаться гражданская война, из горнила которой появятся новые государства...Боевик ВКС Ассамблеи Джон Рико, скрываясь от преследования оказывается во фронтире, где пытается заработать себе на жизнь в качестве специалиста по решению ""сложных ситуаций"". Но он прекрасно понимает, что надвигающийся на человеческие миры коллапс не пережить самостоятельно..."	2024-12-04T20:54:11.5130000Z
